[+] walking folders in D:/
[+] Walked 1,160,739 files! fps=1,856
[+] Walked 1,170,212 files! fps=1,894
[+] Walked 1,173,548 files! fps=667
[+] Walked 1,178,115 files! fps=913
[+] Walked 1,179,565 files! fps=290
[+] Walked 1,181,005 files! fps=288
[+] Walked 1,183,314 files! fps=461
[+] Walked 1,192,593 files! fps=1,855
[+] Walked 1,206,127 files! fps=2,706
[+] Walked 1,221,661 files! fps=3,106
[+] Walked 1,233,136 files! fps=2,295
[+] Walked 1,247,620 files! fps=2,896
[+] Walked 1,257,592 files! fps=1,994
[+] Walked 1,257,995 files! fps=80
[+] Walked 1,260,014 files! fps=403
[+] Walked 1,269,772 files! fps=1,951
[+] Walked 1,275,444 files! fps=1,134
[+] Walked 1,280,557 files! fps=1,022
[+] Walked 1,282,031 files! fps=294
[+] Walked 1,282,725 files! fps=138
[-] Error thrown when process file! [WinError 5] Access is denied: 'D:/Steam\\userdata\\224536775\\760\\remote'
[+] Walked 1,285,010 files! fps=457
[+] Walked 1,288,435 files! fps=685
[+] Walked 1,289,876 files! fps=288
[+] Walked 1,290,735 files! fps=171
[+] Walked 1,291,628 files! fps=178
[+] Walked 1,292,561 files! fps=186
[+] Walked 1,292,843 files! fps=56
[+] Walked 1,293,276 files! fps=86
[+] Walked 1,293,626 files! fps=70
[+] Walked 1,294,049 files! fps=84
[+] Finished walking!

 10 largest folders:
------------------------------
1|	203.60GB	D:/Videos/Screen Recorder
2|	149.45GB	D:/Steam/steamapps/common/HITMAN2/Runtime
3|	119.19GB	D:/Downloads
4|	102.51GB	D:/Real-Time-Voice-Cloning/!other files/raw_data/VoxCleb-dataset
5|	100.21GB	D:/Steam/steamapps/common/Gears5/GearGame/Content/B2
6|	87.11GB	D:/Steam/steamapps/common/Call of Duty Black Ops III/zone
7|	78.12GB	D:/Steam/steamapps/common/Red Dead Redemption 2
8|	69.21GB	D:/Steam/steamapps/common/PAYDAY 2/assets
9|	66.14GB	D:/Steam/steamapps/common/For Honor
10|	58.59GB	D:/Steam/steamapps/common/Cyberpunk 2077/archive/pc/content

