Name,Series,Form,Type,Capacity,Cache,Price/GB
Western Digital WD5000AZLX,Blue,3.5",7200RPM,500GB,32MB,£0.077
Hitachi 7K1000.C,Deskstar,3.5",7200RPM,500GB,16MB,
Western Digital WD5000AACS,Caviar Green,3.5",5400RPM,500GB,16MB,
Seagate ST3500320AS,Barracuda,3.5",7200RPM,500GB,32MB,
Western Digital WD5000BHTZ,WD VelociRaptor,2.5",10000RPM,500GB,64MB,
Hitachi 0S04007,Deskstar NAS,3.5",7200RPM,6TB,128MB,£0.026
Western Digital WD10JPVX,WD Blue,2.5",5400RPM,1TB,8MB,£0.043
Seagate ST2000VN004,IronWolf,3.5",5900RPM,2TB,64MB,£0.031
Seagate ST32000644NS,Constellation ES,3.5",7200RPM,2TB,64MB,£0.058
Western Digital WD3200AAKS,Caviar Blue,3.5",7200RPM,320GB,16MB,
Western Digital WD4001FAEX,WD Black,3.5",7200RPM,4TB,64MB,
Western Digital WD2002FFSX,Red Pro,3.5",7200RPM,2TB,64MB,£0.053
Western Digital WD20EZRX,WD Green,3.5",5400RPM,2TB,64MB,£0.037
Seagate ST3250410AS,Barracuda,3.5",7200RPM,250GB,16MB,
Seagate ST31000524NS,Constellation ES,3.5",7200RPM,1TB,32MB,£0.070
Seagate ST3000VM002,,3.5",5900RPM,3TB,64MB,£0.027
Hitachi 0S04012,Deskstar NAS,3.5",7200RPM,8TB,128MB,£0.031
Hitachi 0F10311,Deskstar 7K2000,3.5",7200RPM,2TB,32MB,£0.114
Hitachi HUA723020ALA640,Ultrastar 7K3000,3.5",7200RPM,2TB,64MB,
Seagate ST6000VN0021,,3.5",7200RPM,6TB,128MB,£0.035
Seagate ST4000NC001,,3.5",5900RPM,4TB,64MB,
Seagate STBD2000101,Barracuda,3.5",7200RPM,2TB,64MB,
Toshiba MD04ACA400,,3.5",7200RPM,4TB,64MB,£0.028
Western Digital WD10EZRX,Caviar Green,3.5",5400RPM,1TB,64MB,£0.043
Seagate ST3160812AS,Barracuda 7200.9,3.5",7200RPM,160GB,8MB,£0.203
Hitachi 0F27352,Ultrastar He10,3.5",7200RPM,10TB,256MB,£0.044
Western Digital WD10EACS,Caviar Green,3.5",5400RPM,1TB,16MB,£0.079
Western Digital WD6001F9YZ,RE,3.5",7200RPM,6TB,128MB,£0.098
Seagate ST2000DM002,,3.5",7200RPM,2TB,64MB,£0.038
Hitachi 0S04005,Deskstar NAS,3.5",7200RPM,4TB,128MB,£0.028
Toshiba HDKPC03,Product Series:DT01ACA,3.5",7200RPM,1TB,32MB,£0.036
Seagate ST12000NM0007,Enterprise,3.5",7200RPM,12TB,256MB,£0.036
Seagate ST91000640NS,Constellation.2,2.5",7200RPM,1TB,64MB,£0.116
Seagate ST3000VN007,IronWolf,3.5",5900RPM,3TB,64MB,£0.028
Western Digital WD7500BPKX,BLACK SERIES,2.5",7200RPM,750GB,16MB,£0.075
Seagate ST4000VX007,SkyHawk,3.5",5900RPM,4TB,64MB,£0.026
Western Digital WDBSLA0020HNC-NRSN,,3.5",7200RPM,2TB,64MB,
Western Digital WD5001ABYS,RE2,3.5",7200RPM,500GB,16MB,
Seagate ST33000651NS,Constellation ES.2,3.5",7200RPM,3TB,64MB,£0.097
Western Digital WD5000BPKX,BLACK SERIES,2.5",7200RPM,500GB,16MB,£0.109
Western Digital wd5000bpkt,Scorpio Black,2.5",7200RPM,500GB,16MB,
Western Digital WD5000AVDS,AV-GP,3.5",5400RPM,500GB,32MB,£0.049
Seagate ST1000VX005,SkyHawk,3.5",5900RPM,1TB,64MB,£0.043
Toshiba HDWN180UZSVA,N300,3.5",7200RPM,8TB,128MB,£0.025
Western Digital WD10EAVS,WD Green,3.5",5400RPM,1TB,64MB,
Seagate ST1500DM003,Barracuda,3.5",7200RPM,1.5TB,64MB,
Western Digital WD3200AVJS,AV,3.5",7200RPM,320GB,8MB,
Western Digital WD6000HLHX,VelociRaptor,3.5",10000RPM,600GB,32MB,
Toshiba HDKPC08,,3.5",7200RPM,3TB,64MB,
Seagate ST9750423AS,Momentus,2.5",5400RPM,750GB,16MB,£0.066
Seagate ST3160815AS,Barracuda 7200.10,3.5",7200RPM,160GB,8MB,
Seagate ST1000VX001,Surveillance HDD,3.5",5400RPM,1TB,64MB,
Seagate ST1000LM024,Momentus,2.5",5400RPM,1TB,8MB,£0.054
Seagate ST4000VN003,NAS HDD,3.5",5400RPM,4TB,64MB,
Western Digital WD4000F9YZ,WD SE,3.5",7200RPM,4TB,64MB,
Samsung HD203WI,Spinpoint F3 EG,3.5",5400RPM,2TB,32MB,
Seagate ST5000AS0011,Archive HDD v2,3.5",5900RPM,5TB,128MB,£0.053
Hitachi 0G02001,,3.5",7200RPM,3TB,32MB,
Hitachi HDS723020ALA640,,3.5",7200RPM,2TB,64MB,
Seagate ST33000650SS,Constellation ES.2,3.5",7200RPM,3TB,64MB,£0.042
Western Digital WD10EZRZ,Blue,3.5",5400RPM,1TB,64MB,£0.040
Western Digital WD60EFRX,Red,3.5",5400RPM,6TB,64MB,£0.029
Hitachi 7K2000,Deskstar,3.5",7200RPM,2TB,32MB,£0.089
Hitachi HUS724030ALE641,Ultrastar 7K4000,3.5",7200RPM,3TB,64MB,£0.023
Seagate ST32000444SS,Constellation ES,3.5",7200RPM,2TB,16MB,£0.043
Western Digital WD5002ABYS,RE3,3.5",7200RPM,500GB,16MB,
Hitachi 0J22413,Travelstar 5K1000,2.5",5400RPM,1TB,8MB,£0.044
Toshiba DT01ACA050,,3.5",7200RPM,500GB,32MB,£0.065
Seagate ST500LM021,,2.5",7200RPM,500GB,32MB,£0.078
Western Digital WDBH2D0030HNC-NRSN,,3.5",5900RPM,3TB,32MB,
Western Digital WD6002FFWX,Red Pro,3.5",7200RPM,6TB,128MB,£0.033
Seagate ST3160318AS-FFP,Barracuda,3.5",7200RPM,160GB,8MB,£0.332
Seagate ST3000LM024,BarraCuda,2.5",5400RPM,3TB,128MB,£0.036
Seagate ST10000NM0016,Enterprise Capacity,3.5",7200RPM,10TB,256MB,£0.031
Western Digital WD3003FZEX,BLACK SERIES,3.5",7200RPM,3TB,64MB,£0.043
Western Digital WD40PURX,WD Purple,3.5",5400RPM,4TB,64MB,£0.028
Western Digital WD7502ABYS,RE3,3.5",7200RPM,750GB,32MB,
Western Digital WD3000HLFS,VelociRaptor,3.5",10000RPM,300GB,16MB,
Western Digital WD1002FBYS,RE3,3.5",7200RPM,1TB,32MB,
Seagate ST3000NM0033,Constellation ES.3,3.5",7200RPM,3TB,128MB,£0.040
Seagate ST2000VX008,SkyHawk,3.5",5900RPM,2TB,64MB,£0.031
Western Digital WD6001FXYZ,RE,3.5",7200RPM,6TB,128MB,£0.070
Western Digital WD15EVDS,AV-GP,3.5",5400RPM,1.5TB,32MB,
Western Digital WD6400AAKS,Caviar Blue,3.5",7200RPM,640GB,16MB,
Western Digital WD10EALX,Caviar Blue,3.5",7200RPM,1TB,32MB,
Seagate ST5000DM002,BarraCuda Pro,3.5",7200RPM,5TB,128MB,£0.030
Seagate ST31500341AS,Barracuda,3.5",7200RPM,1.5TB,32MB,
Western Digital WD20EURX,AV-GP,3.5",5400RPM,2TB,64MB,£0.034
Western Digital WD2500AVCS,AV-GP,3.5",5400RPM,250GB,16MB,
Western Digital WD2502ABYS,RE3,3.5",7200RPM,250GB,16MB,£0.198
Western Digital WD40EZRX,Green,3.5",5900RPM,4TB,64MB,£0.040
Western Digital WD3001FFSX,Red Pro,3.5",7200RPM,3TB,64MB,
