Manufacturer,Name,Clock Speed,Cores,Multi-threading,TDP
Intel,Intel Core i7-920,2.66GHz,4,Yes:Hyper-Threading,130Watts
Intel,Intel Core i5-2550K,3.4GHz,4,No,95Watts
Intel,Intel Core i7-6700T,2.8GHz,4,Yes:Hyper-Threading,35Watts
Intel,Intel Core i3-6100T,3.2GHz,2,Yes:Hyper-Threading,35Watts
Intel,Intel Xeon E5-2687W V4,3.0GHz,12,Yes:Hyper-Threading,160Watts
Intel,Intel Core i5-3450S,2.8GHz,4,No,65Watts
Intel,Intel Core 2 Duo E7500,2.93GHz,2,No,65Watts
Intel,Intel Core i3-3210,3.2GHz,2,Yes:Hyper-Threading,55Watts
Intel,Intel Core i5-3450,3.1GHz,4,No,77Watts
AMD,AMD Athlon X2 370K,4.2GHz,2,No,65Watts
Intel,Intel Core 2 Duo E7300 (OEM/Tray),2.66GHz,2,No,65Watts
Intel,Intel Xeon E5-2620 V3 (OEM/Tray),2.4GHz,6,Yes:Hyper-Threading,85Watts
Intel,Intel Core i3-4150,3.5GHz,2,Yes:Hyper-Threading,54Watts
Intel,Intel Xeon E3-1231 V3,3.4GHz,4,Yes:Hyper-Threading,80Watts
AMD,AMD Athlon II X2 220 (OEM/Tray),2.8GHz,2,No,65Watts
Intel,Intel Core 2 Quad Q9400 (OEM/Tray),2.66GHz,4,No,95Watts
Intel,Intel Xeon E5-2609 V4,1.7GHz,8,No,85Watts
Intel,Intel Xeon E5-1630 V3 (OEM/Tray),3.7GHz,4,Yes:Hyper-Threading,140Watts
Intel,Intel Core i5-4460S,2.9GHz,4,No,65Watts
Intel,Intel Celeron G1840,2.8GHz,2,No,53Watts
Intel,Intel Core i7-8700 (OEM/Tray),3.2GHz,6,Yes:Hyper-Threading,65Watts
Intel,Intel Xeon E3-1245 V5,3.5GHz,4,Yes:Hyper-Threading,80Watts
AMD,AMD A10-7700K,3.4GHz,4,No,95Watts
AMD,AMD Opteron 6344,2.6GHz,12,No,115Watts
AMD,AMD FX-8370E,3.3GHz,8,No,95Watts
